timestep,location,flow,occupy,speed
15652,19,9,1,1
15652,20,3,1,1
15953,2,0,1,1
15953,3,86,1,1
15953,4,0,1,1
15953,5,0,1,1
15953,6,3,1,1
15953,7,18,1,1
15953,8,7,1,1
15953,9,3,1,1
15953,10,9,1,1
15953,11,75,1,1
15953,12,92,1,1
15953,13,13,1,1
15953,14,1,1,1
15953,15,15,1,1
15953,16,38,1,1
15953,17,31,1,1
15953,18,17,1,1
15953,19,17,1,1
15953,20,3,1,1
16254,2,0,1,1
16254,3,72,1,1
16254,4,0,1,1
16254,5,0,1,1
16254,6,1,1,1
16254,7,5,1,1
16254,8,2,1,1
16254,9,6,1,1
16254,10,10,1,1
16254,11,57,1,1
16254,12,78,1,1
16254,13,9,1,1
16254,14,0,1,1
16254,15,7,1,1
16254,16,32,1,1
16254,17,22,1,1
16254,18,10,1,1
16254,19,21,1,1
16254,20,6,1,1
16555,2,0,1,1
16555,3,9,1,1
16555,4,0,1,1
16555,5,0,1,1
16555,6,2,1,1
16555,7,4,1,1
16555,8,3,1,1
16555,9,3,1,1
16555,10,0,1,1
16555,11,18,1,1
16555,12,7,1,1
16555,13,0,1,1
16555,14,0,1,1
16555,15,16,1,1
16555,16,28,1,1
16555,17,24,1,1
16555,18,8,1,1
16555,19,10,1,1
16555,20,1,1,1
16856,2,0,1,1
16856,3,34,1,1
16856,4,0,1,1
16856,5,0,1,1
16856,6,3,1,1
16856,7,6,1,1
16856,8,7,1,1
16856,9,6,1,1
16856,10,0,1,1
16856,11,57,1,1
16856,12,34,1,1
16856,13,0,1,1
16856,14,0,1,1
16856,15,15,1,1
16856,16,41,1,1
16856,17,30,1,1
16856,18,8,1,1
16856,19,14,1,1
16856,20,4,1,1
17157,2,0,1,1
17157,3,19,1,1
17157,4,0,1,1
17157,5,0,1,1
17157,6,0,1,1
17157,7,6,1,1
17157,8,2,1,1
17157,9,1,1,1
17157,10,0,1,1
17157,11,42,1,1
17157,12,19,1,1
17157,13,0,1,1
17157,14,0,1,1
17157,15,9,1,1
17157,16,27,1,1
17157,17,24,1,1
17157,18,6,1,1
17157,19,17,1,1
17157,20,1,1,1
17458,2,0,1,1
17458,3,14,1,1
17458,4,0,1,1
17458,5,0,1,1
17458,6,1,1,1
17458,7,5,1,1
17458,8,7,1,1
17458,9,4,1,1
17458,10,0,1,1
17458,11,27,1,1
17458,12,14,1,1
17458,13,0,1,1
17458,14,0,1,1
17458,15,16,1,1
17458,16,36,1,1
17458,17,26,1,1
17458,18,3,1,1
17458,19,12,1,1
17458,20,4,1,1
17759,2,0,1,1
17759,3,0,1,1
17759,4,0,1,1
17759,5,0,1,1
17759,6,2,1,1
17759,7,10,1,1
17759,8,3,1,1
17759,9,0,1,1
17759,10,0,1,1
17759,11,23,1,1
17759,12,0,1,1
17759,13,0,1,1
17759,14,0,1,1
17759,15,15,1,1
17759,16,36,1,1
17759,17,29,1,1
17759,18,7,1,1
17759,19,15,1,1
17759,20,0,1,1
18060,2,0,1,1
18060,3,0,1,1
18060,4,0,1,1
18060,5,0,1,1
18060,6,1,1,1
18060,7,5,1,1
18060,8,3,1,1
18060,9,2,1,1
18060,10,0,1,1
18060,11,25,1,1
18060,12,0,1,1
18060,13,0,1,1
18060,14,0,1,1
18060,15,8,1,1
18060,16,33,1,1
18060,17,22,1,1
18060,18,6,1,1
18060,19,17,1,1
18060,20,2,1,1
18361,2,0,1,1
18361,3,0,1,1
18361,4,0,1,1
18361,5,0,1,1
18361,6,3,1,1
18361,7,4,1,1
18361,8,6,1,1
18361,9,3,1,1
18361,10,0,1,1
18361,11,12,1,1
18361,12,0,1,1
18361,13,0,1,1
18361,14,0,1,1
18361,15,15,1,1
18361,16,28,1,1
18361,17,24,1,1
18361,18,3,1,1
18361,19,9,1,1
18361,20,2,1,1
18662,2,0,1,1
18662,3,0,1,1
18662,4,0,1,1
18662,5,0,1,1
18662,6,2,1,1
18662,7,11,1,1
18662,8,4,1,1
18662,9,2,1,1
18662,10,0,1,1
18662,11,27,1,1
18662,12,0,1,1
18662,13,0,1,1
18662,14,0,1,1
18662,15,17,1,1
18662,16,43,1,1
18662,17,31,1,1
18662,18,4,1,1
18662,19,14,1,1
18662,20,2,1,1
18963,2,0,1,1
18963,3,0,1,1
18963,4,0,1,1
18963,5,0,1,1
18963,6,2,1,1
18963,7,5,1,1
18963,8,3,1,1
18963,9,1,1,1
18963,10,0,1,1
18963,11,29,1,1
18963,12,0,1,1
18963,13,0,1,1
18963,14,0,1,1
18963,15,6,1,1
18963,16,28,1,1
18963,17,21,1,1
18963,18,1,1,1
18963,19,15,1,1
18963,20,0,1,1
19264,2,0,1,1
19264,3,0,1,1
19264,4,0,1,1
19264,5,0,1,1
19264,6,2,1,1
19264,7,9,1,1
19264,8,4,1,1
19264,9,0,1,1
19264,10,0,1,1
19264,11,16,1,1
19264,12,0,1,1
19264,13,0,1,1
19264,14,0,1,1
19264,15,12,1,1
19264,16,26,1,1
19264,17,23,1,1
19264,18,1,1,1
19264,19,9,1,1
19264,20,0,1,1
19565,2,0,1,1
19565,3,0,1,1
19565,4,0,1,1
19565,5,0,1,1
19565,6,2,1,1
19565,7,7,1,1
19565,8,8,1,1
19565,9,2,1,1
19565,10,0,1,1
19565,11,22,1,1
19565,12,0,1,1
19565,13,0,1,1
19565,14,0,1,1
19565,15,14,1,1
19565,16,40,1,1
19565,17,28,1,1
19565,18,3,1,1
19565,19,9,1,1
19565,20,0,1,1
19866,2,0,1,1
19866,3,0,1,1
19866,4,0,1,1
19866,5,0,1,1
19866,6,2,1,1
19866,7,11,1,1
19866,8,2,1,1
19866,9,1,1,1
19866,10,0,1,1
19866,11,25,1,1
19866,12,0,1,1
19866,13,0,1,1
19866,14,0,1,1
19866,15,8,1,1
19866,16,34,1,1
19866,17,21,1,1
19866,18,5,1,1
19866,19,17,1,1
19866,20,1,1,1
20167,2,0,1,1
20167,3,0,1,1
20167,4,0,1,1
20167,5,0,1,1
20167,6,1,1,1
20167,7,6,1,1
20167,8,4,1,1
20167,9,2,1,1
20167,10,0,1,1
20167,11,17,1,1
20167,12,0,1,1
20167,13,0,1,1
20167,14,0,1,1
20167,15,15,1,1
20167,16,31,1,1
